Date,PX_LAST
#NAME?,566.1917
2012-10-11,332.20006
2012-10-10,329.56451
2012-10-09,332.60862
2012-10-08,335.41113
2012-10-05,334.34094
2012-10-04,334.02189
2012-10-03,335.61094
2012-10-02,339.53554
2012-10-01,340.30589
2012-09-28,338.67125
2012-09-27,341.88485
2012-09-26,336.66156
2012-09-25,341.47298
2012-09-24,343.18313
2012-09-21,341.16282
2012-09-20,340.5639
2012-09-19,343.31066
2012-09-18,340.32722
2012-09-17,337.41012
2012-09-14,337.83637
2012-09-13,334.88984
2012-09-12,332.75644
2012-09-11,340.46972
2012-09-10,344.30016
2012-09-07,342.17609
2012-09-06,340.01948
2012-09-05,335.58429
2012-09-04,339.26702
2012-09-03,340.54683
2012-08-31,340.00939
2012-08-30,339.12167
2012-08-29,349.59727
2012-08-28,353.35296
2012-08-27,353.40462
2012-08-24,355.72655
2012-08-23,356.47857
2012-08-22,358.54215
2012-08-21,361.89253
2012-08-20,360.54833
2012-08-17,359.02257
2012-08-16,354.06423
2012-08-15,350.03818
2012-08-14,350.97024
2012-08-13,348.15024
2012-08-10,352.62274
2012-08-09,356.35214
2012-08-08,351.79431
2012-08-07,347.77025
2012-08-06,339.96986
2012-08-03,331.39479
2012-08-02,331.03913
2012-08-01,326.97146
2012-07-31,329.95734
2012-07-30,325.42832
2012-07-27,328.59121
2012-07-26,325.52757
2012-07-25,323.79532
2012-07-24,330.6498
2012-07-23,335.37775
2012-07-20,344.75298
2012-07-19,349.803
2012-07-18,349.17895
2012-07-17,356.38416
2012-07-16,358.98352
2012-07-13,361.15108
2012-07-12,362.79989
2012-07-11,364.18321
2012-07-10,364.51697
2012-07-09,364.99253
2012-07-06,372.76844
2012-07-05,373.24627
2012-07-04,374.33828
2012-07-03,372.15699
2012-07-02,368.81726
2012-06-29,365.60327
2012-06-28,361.62213
2012-06-27,360.61467
2012-06-26,357.04922
2012-06-25,359.63874
2012-06-22,364.23237
2012-06-21,365.05706
2012-06-20,369.15143
2012-06-19,365.52316
2012-06-18,362.89222
2012-06-15,361.16923
2012-06-14,352.84361
2012-06-13,353.61815
2012-06-12,358.16484
2012-06-11,353.0144
2012-06-08,356.14609
2012-06-07,354.30567
2012-06-06,352.1575
2012-06-05,350.69955
2012-06-04,346.0392
2012-06-01,351.93726
2012-05-31,359.84875
2012-05-30,360.98678
2012-05-29,363.02035
2012-05-28,359.05115
2012-05-25,358.07815
2012-05-24,357.76182
2012-05-23,356.45557
2012-05-22,356.1718
2012-05-21,353.19504
2012-05-18,353.92475
2012-05-17,365.82061
2012-05-16,370.67985
2012-05-15,376.8837
2012-05-14,384.9178
2012-05-11,391.84724
2012-05-10,395.01643
